forecast_date,day_name,is_weekend,cluster,cluster_enc,day_of_week,week,avg_priority,peak_hour_frac,rolling_7_mean,rolling_7_std,rolling_7_max,spike_probability,predicted_spike,top_junction,risk_score,risk_tier,center_lat,center_lon,alert_level,recommended_deploy_hour,dispatch_instruction
2024-04-09,Tue,0,709,678,1,15,3.3428571428571425,0.39999999999999997,4.142857142857143,3.8047589248453675,11,0.673,1,No Junction,4.63,🟠 HIGH,12.956942863617453,77.699113774959,🟠 HIGH,23,⚠️ DEPLOY 1 unit at 23:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,150,58,1,15,2.6305194805194807,0.16493506493506493,9.714285714285714,6.395683067879607,22,0.671,1,BTP207 - 8th Main Road Basaveshwara Nagar,6.85,🟠 HIGH,12.991840556547618,77.53841092619048,🟠 HIGH,5,⚠️ DEPLOY 1 unit at 5:00. Issue penalties. Zone: BTP207 - 8th Main Road Basaveshwara Nagar
2024-04-09,Tue,0,589,544,1,15,4.169772256728779,0.09523809523809523,5.714285714285714,7.889112449325034,23,0.671,1,BTP214 - 5th Main Chamrajpet  Junction,6.97,🟠 HIGH,12.958021793636364,77.56735131272728,🟠 HIGH,5,⚠️ DEPLOY 1 unit at 5:00. Issue penalties. Zone: BTP214 - 5th Main Chamrajpet  Junction
2024-04-09,Tue,0,823,805,1,15,3.5934065934065935,0.2087912087912088,3.2857142857142856,4.347960660443228,13,0.671,1,No Junction,5.42,🟠 HIGH,12.854895807142857,77.664791775,🟠 HIGH,20,⚠️ DEPLOY 1 unit at 20:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,606,564,1,15,2.725,0.2,4.75,3.095695936834452,9,0.671,1,No Junction,3.83,🟡 MEDIUM,13.0574634,77.47263271578947,🟠 HIGH,23,⚠️ DEPLOY 1 unit at 23:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,520,469,1,15,3.4,0.2,4.0,5.612486080160912,14,0.671,1,No Junction,3.21,🟡 MEDIUM,12.992006495000002,77.57458653500001,🟠 HIGH,23,⚠️ DEPLOY 1 unit at 23:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,562,515,1,15,2.4285714285714284,0.0,2.5714285714285716,1.8126539343499315,5,0.67,1,No Junction,3.43,🟡 MEDIUM,12.918771452,77.669668056,🟠 HIGH,22,⚠️ DEPLOY 1 unit at 22:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,200,114,1,15,2.2857142857142856,0.0,8.428571428571429,9.466733735510237,26,0.67,1,No Junction,5.52,🟠 HIGH,12.990402505305466,77.57234730932475,🟠 HIGH,5,⚠️ DEPLOY 1 unit at 5:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,234,151,1,15,2.642857142857143,0.0,2.142857142857143,1.7728105208558367,6,0.669,1,No Junction,4.59,🟠 HIGH,12.914322642621393,77.48135074669092,🟠 HIGH,1,⚠️ DEPLOY 1 unit at 1:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,491,436,1,15,2.4,0.0,5.0,4.183300132670378,10,0.669,1,BTP217 - Baleyele Junction,3.02,🟡 MEDIUM,12.957998292,77.569449168,🟠 HIGH,3,⚠️ DEPLOY 1 unit at 3:00. Issue penalties. Zone: BTP217 - Baleyele Junction
